user_id,name,address,zip_code,phone_number,email
user0001,Elisa Miles,4490 Union Street,98109,206-922-0882,elisa.miles@yahoo.com
user0002,Maya Data,4936 Elliot Avenue,98115,206-777-1927,mdata@uw.edu
user0003,Andy Norris,348 Terra Street,98501,206-309-2533,andy.norris@gmail.com
user0004,Flor Matatena,885 Boone Crockett Lane,97209,206-414-2629,matseattle@pge.com
user0005,Dan Sounders,861 Honeysuckle Lane,98244,206-279-1723,soundersoccer@mls.com
user0006,Leo Dembele,2725 Mutton Town Road,98368,206-203-1294,leo.dembele@comcast.com
user0007,Pete Nicholas,668 Elliot Avenue,98115,206-279-8759,nicholasp@amazon.com
user0008,Shirlene Harris,4329 Honeysuckle Lane,98055,206-279-5340,harrisfamily@gmail.com
user0009,Nick Rather,4679 Goodwin Avenue,98619,206-777-1965,nick.rather@microsoft.com
user0010,Jose Garza,2717 Raccoon Run,98116,206-946-8200,joegarza@boeing.com
user0011,Person 11,Fake Street 11,90011,206-123-4567,whywhy@pointless.com
user0012,Person 12,Fake Street 12,90012,206-123-4567,whywhy@pointless.com
user0013,Person 13,Fake Street 13,90013,206-123-4567,whywhy@pointless.com
user0014,Person 14,Fake Street 14,90014,206-123-4567,whywhy@pointless.com
user0015,Person 15,Fake Street 15,90015,206-123-4567,whywhy@pointless.com
user0016,Person 16,Fake Street 16,90016,206-123-4567,whywhy@pointless.com
user0017,Person 17,Fake Street 17,90017,206-123-4567,whywhy@pointless.com
user0018,Person 18,Fake Street 18,90018,206-123-4567,whywhy@pointless.com
user0019,Person 19,Fake Street 19,90019,206-123-4567,whywhy@pointless.com
user0020,Person 20,Fake Street 20,90020,206-123-4567,whywhy@pointless.com
user0021,Person 21,Fake Street 21,90021,206-123-4567,whywhy@pointless.com
user0022,Person 22,Fake Street 22,90022,206-123-4567,whywhy@pointless.com
user0023,Person 23,Fake Street 23,90023,206-123-4567,whywhy@pointless.com
user0024,Person 24,Fake Street 24,90024,206-123-4567,whywhy@pointless.com
user0025,Person 25,Fake Street 25,90025,206-123-4567,whywhy@pointless.com
user0026,Person 26,Fake Street 26,90026,206-123-4567,whywhy@pointless.com
user0027,Person 27,Fake Street 27,90027,206-123-4567,whywhy@pointless.com
user0028,Person 28,Fake Street 28,90028,206-123-4567,whywhy@pointless.com
user0029,Person 29,Fake Street 29,90029,206-123-4567,whywhy@pointless.com
